SCHOOLYEAR,SCHOOLCODE,COUNTY,PUB-PRIV,PUBLICSCHOOLDISTRICT,CITY,SCHOOLNAME,ENROLLMENT,REPORTED,CATEGORY,COUNT,PERCENT,ANNOTATION
2016-2017,132753,SUTTER,PUBLIC,MERIDIAN ELEMENTARY,MERIDIAN,CALIFORNIA PREP SUTTER K-7,21,Y,UP-TO-DATE,15,71,
2016-2017,6150684,SANTA CLARA,PRIVATE,,MOUNTAIN VIEW,WALDORF SCHOOL OF THE PENINSULA,28,Y,UP-TO-DATE,20,71,
2016-2017,6201982,VENTURA,PRIVATE,,SIMI VALLEY,HERITAGE CHRISTIAN ACADEMY OF SIMI VALLEY,24,Y,UP-TO-DATE,17,71,
2016-2017,6970719,MARIN,PRIVATE,,NOVATO,OUR LADY OF LORETTO,35,Y,UP-TO-DATE,25,71,
2016-2017,133934,SUTTER,PUBLIC,WINSHIP-ROBBINS,MERIDIAN,INSPIRE CHARTER SCHOOL - NORTH,43,Y,OTHERS,31,72,
2016-2017,6117758,ORANGE,PUBLIC,CAPISTRANO UNIFIED,ALISO VIEJO,JOURNEY,25,Y,UP-TO-DATE,18,72,
2016-2017,6908099,SANTA CLARA,PRIVATE,,CAMPBELL,CAMPBELL CHRISTIAN SCHOOLS,25,Y,UP-TO-DATE,18,72,
2016-2017,6934913,LOS ANGELES,PRIVATE,,NORTHRIDGE,HIGHLAND HALL WALDORF SCHOOL,25,Y,UP-TO-DATE,18,72,
2016-2017,132506,SAN DIEGO,PUBLIC,DEHESA ELEMENTARY,EL CAJON,INSPIRE CHARTER SCHOOL - SOUTH,215,Y,UP-TO-DATE,157,73,
2016-2017,6120588,SONOMA,PUBLIC,HARMONY UNION ELEMENTARY,ROHNERT PARK,PATHWAYS CHARTER,44,Y,UP-TO-DATE,32,73,
2016-2017,6937437,ORANGE,PRIVATE,,BUENA PARK,SPEECH AND LANGUAGE DEVELOPMENT CENTER,22,Y,UP-TO-DATE,16,73,
2016-2017,111203,HUMBOLDT,PUBLIC,SOUTH BAY UNION ELEMENTARY,EUREKA,ALDER GROVE CHARTER,31,Y,UP-TO-DATE,23,74,
2016-2017,120170,SHASTA,PUBLIC,GATEWAY UNIFIED,REDDING,ACADEMY OF PERSONALIZED LEARNING,23,Y,UP-TO-DATE,17,74,
2016-2017,6110639,SONOMA,PUBLIC,HARMONY UNION ELEMENTARY,OCCIDENTAL,SALMON CREEK SCHOOL - A CHARTER,27,Y,UP-TO-DATE,20,74,
2016-2017,6920722,SAN DIEGO,PRIVATE,,SAN DIEGO,GOOD SHEPHERD CATHOLIC,23,Y,OVERDUE,17,74,
2016-2017,6994164,SONOMA,PRIVATE,,SANTA ROSA,SUMMERFIELD WALDORF SCHOOL AND FARM,27,Y,UP-TO-DATE,20,74,
2016-2017,134247,SAN BERNARDINO,PUBLIC,TRONA JOINT UNIFIED,TRONA,CALIFORNIA STEAM SAN BERNARDINO,68,Y,UP-TO-DATE,51,75,
2016-2017,6093488,SAN FRANCISCO,PUBLIC,SAN FRANCISCO UNIFIED,SAN FRANCISCO,SAN FRANCISCO COMMUNITY ALTERNATIVE,32,Y,UP-TO-DATE,24,75,
